productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,metaKeywords.en,name.de,description.de,slug.de,metaTitle.de,metaDescription.de,metaKeywords.de,name.it,description.it,slug.it,metaTitle.it,metaDescription.it,metaKeywords.it,creationDate,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,details.en,colorFreeDefinition.de,details.de,colorFreeDefinition.it,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew
,15,M0E20000000DVK6,EUR 14000;EUR 9180 b2b;US-USD 14000;USD 9180 b2b;DE-EUR 11200;IT-EUR 11200;GB-EUR 11200;DE-EUR 12208#sunrise-store-berlin;EUR 15120#sunrise-store-vienna;DE-EUR 11760#sunrise-store-munich;DE-EUR 10080#sunrise-store-cologne;DE-EUR 10976#sunrise-store-hamburg;US-USD 12208#sunrise-store-boston-2;USD 15120#sunrise-store-chicago;US-USD 11760#sunrise-store-boston-1;US-USD 10080#sunrise-store-sanfrancisco;US-USD 10976#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/hemnes-8-drawer-dresser-dark-gray-stained__0519831_pe641793_s5.jpg?f=xxs,HEMNES,"Made of solid wood, which is a durable and warm natural material.",,,,,HEMNES,"Made of solid wood, which is a durable and warm natural material.",,,,,HEMNES,"Made of solid wood, which is a durable and warm natural material.",,,,,,V33IG270 BG207 B1426,78987,M0E20000000DVK6,78987,poloralphlauren,no,,xl,10,white,white,,wei�,,,,sporty,women,s15,TRUE,,,
,16,M0E20000000DVK7,EUR 14000;EUR 9180 b2b;US-USD 14000;USD 9180 b2b;DE-EUR 11200;IT-EUR 11200;GB-EUR 11200;DE-EUR 11200#sunrise-store-berlin;EUR 13020#sunrise-store-vienna;DE-EUR 11984#sunrise-store-munich;DE-EUR 10752#sunrise-store-cologne;DE-EUR 11088#sunrise-store-hamburg;US-USD 11200#sunrise-store-boston-2;USD 13020#sunrise-store-chicago;US-USD 11984#sunrise-store-boston-1;US-USD 10752#sunrise-store-sanfrancisco;US-USD 11088#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/burhult-shelf-white__0670004_pe715282_s5.jpg?f=xxs,BURHULT,With BURHULT you can easily create a wall shelf that suits your needs. Free up space on the floor for things you need close at hand or use it to display your favorite things.,,,,,BURHULT,With BURHULT you can easily create a wall shelf that suits your needs. Free up space on the floor for things you need close at hand or use it to display your favorite things.,,,,,BURHULT,With BURHULT you can easily create a wall shelf that suits your needs. Free up space on the floor for things you need close at hand or use it to display your favorite things.,,,,,,V33IG270 BG207 B1426,78987,M0E20000000DVK7,78987,poloralphlauren,no,,xxl,12,white,white,,wei�,,,,sporty,women,s15,,,,
,17,M0E20000000DVK8,EUR 14000;EUR 9180 b2b;US-USD 14000;USD 9180 b2b;DE-EUR 11200;IT-EUR 11200;GB-EUR 11200;DE-EUR 11872#sunrise-store-berlin;EUR 13300#sunrise-store-vienna;DE-EUR 10304#sunrise-store-munich;DE-EUR 10976#sunrise-store-cologne;DE-EUR 11872#sunrise-store-hamburg;US-USD 11872#sunrise-store-boston-2;USD 13300#sunrise-store-chicago;US-USD 10304#sunrise-store-boston-1;US-USD 10976#sunrise-store-sanfrancisco;US-USD 11872#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/hemnes-sideboard-white-stain__0625360_pe692214_s5.jpg?f=xxs,HEMNES,"Sustainable beauty from sustainably-sourced solid pine, a natural and renewable material that gets more beautiful with each passing year. Like it? Combine with other products in the HEMNES series.",,,,,HEMNES,"Sustainable beauty from sustainably-sourced solid pine, a natural and renewable material that gets more beautiful with each passing year. Like it? Combine with other products in the HEMNES series.",,,,,HEMNES,"Sustainable beauty from sustainably-sourced solid pine, a natural and renewable material that gets more beautiful with each passing year. Like it? Combine with other products in the HEMNES series.",,,,,,V33IG270 BG207 B1426,78987,M0E20000000DVK8,78987,poloralphlauren,no,,xxxl,14,white,white,,wei�,,,,sporty,women,s15,,,,
,18,M0E20000000DVK9,EUR 14000;EUR 9180 b2b;US-USD 14000;USD 9180 b2b;DE-EUR 11200;IT-EUR 11200;GB-EUR 11200;DE-EUR 12096#sunrise-store-berlin;EUR 14140#sunrise-store-vienna;DE-EUR 11648#sunrise-store-munich;DE-EUR 11648#sunrise-store-cologne;DE-EUR 10752#sunrise-store-hamburg;US-USD 12096#sunrise-store-boston-2;USD 14140#sunrise-store-chicago;US-USD 11648#sunrise-store-boston-1;US-USD 11648#sunrise-store-sanfrancisco;US-USD 10752#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/ivar-cabinet-with-door-white__0559120_pe661742_s5.jpg?f=xxs,IVAR,"Since IVAR storage system is so good at what it does, it has faithfully served customers� needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms � they all love IVAR.",,,,,IVAR,"Since IVAR storage system is so good at what it does, it has faithfully served customers� needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms � they all love IVAR.",,,,,IVAR,"Since IVAR storage system is so good at what it does, it has faithfully served customers� needs across the home for over 50 years. Attics, living rooms, pantries and bedrooms � they all love IVAR.",,,,,,V33IG270 BG207 B1426,78987,M0E20000000DVK9,78987,poloralphlauren,no,,xxxl,16,white,white,,wei�,,,,sporty,women,s15,,,,
,19,M0E20000000DVKA,EUR 14000;EUR 9180 b2b;US-USD 14000;USD 9180 b2b;DE-EUR 11200;IT-EUR 11200;GB-EUR 11200;DE-EUR 10864#sunrise-store-berlin;EUR 12740#sunrise-store-vienna;DE-EUR 10528#sunrise-store-munich;DE-EUR 10528#sunrise-store-cologne;DE-EUR 12320#sunrise-store-hamburg;US-USD 10864#sunrise-store-boston-2;USD 12740#sunrise-store-chicago;US-USD 10528#sunrise-store-boston-1;US-USD 10528#sunrise-store-sanfrancisco;US-USD 12320#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/rashult-utility-cart-turquoise__0901370_pe782698_s5.jpg?f=xxs,RASHULT,"This cart is perfect for spices and kitchen utensils, small things by the desk or gloves, keys and cell phones in the hallway. Easy to move, fits almost anywhere and is available in several colors.",,,,,RASHULT,"This cart is perfect for spices and kitchen utensils, small things by the desk or gloves, keys and cell phones in the hallway. Easy to move, fits almost anywhere and is available in several colors.",,,,,RASHULT,"This cart is perfect for spices and kitchen utensils, small things by the desk or gloves, keys and cell phones in the hallway. Easy to move, fits almost anywhere and is available in several colors.",,,,,,V33IG270 BG207 B1426,78987,M0E20000000DVKA,78987,poloralphlauren,no,,xxxl,18,white,white,,wei�,,,,sporty,women,s15,,,,
,20,M0E20000000DJR9,EUR 21250;EUR 13934 b2b;US-USD 21250;USD 13934 b2b;DE-EUR 17000;IT-EUR 17000;GB-EUR 17000;DE-EUR 18700#sunrise-store-berlin;EUR 22312#sunrise-store-vienna;DE-EUR 17510#sunrise-store-munich;DE-EUR 17850#sunrise-store-cologne;DE-EUR 16150#sunrise-store-hamburg;US-USD 18700#sunrise-store-boston-2;USD 22312#sunrise-store-chicago;US-USD 17510#sunrise-store-boston-1;US-USD 17850#sunrise-store-sanfrancisco;US-USD 16150#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/trones-shoe-storage-cabinet-white__0710711_pe727734_s5.jpg?f=xxs,TRONES,"Combine as many cabinets as you like and use the top surface to unload your wallet, cell phone or keys. It�s shallow and takes up little space � a practical solution in smaller entrances or hallways.",,,,,TRONES,"Combine as many cabinets as you like and use the top surface to unload your wallet, cell phone or keys. It�s shallow and takes up little space � a practical solution in smaller entrances or hallways.",,,,,TRONES,"Combine as many cabinets as you like and use the top surface to unload your wallet, cell phone or keys. It�s shallow and takes up little space � a practical solution in smaller entrances or hallways.",,,,,,1G10XX Y19K Z04,72601,M0E20000000DJR9,72601,pinko,no,,xxs,XXS,white,white,,wei�,,,,sporty,women,s15,,,,
,21,M0E20000000DJRA,EUR 21250;EUR 13934 b2b;US-USD 21250;USD 13934 b2b;DE-EUR 17000;IT-EUR 17000;GB-EUR 17000;DE-EUR 17000#sunrise-store-berlin;EUR 19975#sunrise-store-vienna;DE-EUR 15640#sunrise-store-munich;DE-EUR 16490#sunrise-store-cologne;DE-EUR 17850#sunrise-store-hamburg;US-USD 17000#sunrise-store-boston-2;USD 19975#sunrise-store-chicago;US-USD 15640#sunrise-store-boston-1;US-USD 16490#sunrise-store-sanfrancisco;US-USD 17850#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/tjena-desk-organizer-white__0711577_pe728339_s5.jpg?f=xxs,TJENA,"The desk organizer is perfect for storing all kinds of small things � and since the 5 boxes are loose, you can move and place them in the way that suits you and your things best.",,,,,TJENA,"The desk organizer is perfect for storing all kinds of small things � and since the 5 boxes are loose, you can move and place them in the way that suits you and your things best.",,,,,TJENA,"The desk organizer is perfect for storing all kinds of small things � and since the 5 boxes are loose, you can move and place them in the way that suits you and your things best.",,,,,,1G10XX Y19K Z04,72601,M0E20000000DJRA,72601,pinko,no,,xs,XS,white,white,,wei�,,,,sporty,women,s15,TRUE,,,
,22,M0E20000000DJRB,EUR 21250;EUR 13934 b2b;US-USD 21250;USD 13934 b2b;DE-EUR 17000;IT-EUR 17000;GB-EUR 17000;DE-EUR 15300#sunrise-store-berlin;EUR 21462#sunrise-store-vienna;DE-EUR 15810#sunrise-store-munich;DE-EUR 17680#sunrise-store-cologne;DE-EUR 18190#sunrise-store-hamburg;US-USD 15300#sunrise-store-boston-2;USD 21462#sunrise-store-chicago;US-USD 15810#sunrise-store-boston-1;US-USD 17680#sunrise-store-sanfrancisco;US-USD 18190#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/kungsfors-mesh-bag-green__0972093_pe811531_s5.jpg?f=xxs,KUNGSFORS,Give plastic bags a miss and reduce your carbon footprint and save trees every time you go shopping. Put this green net bag in your purse or pocket instead and use it over and over again.,,,,,KUNGSFORS,Give plastic bags a miss and reduce your carbon footprint and save trees every time you go shopping. Put this green net bag in your purse or pocket instead and use it over and over again.,,,,,KUNGSFORS,Give plastic bags a miss and reduce your carbon footprint and save trees every time you go shopping. Put this green net bag in your purse or pocket instead and use it over and over again.,,,,,,1G10XX Y19K Z04,72601,M0E20000000DJRB,72601,pinko,no,,s,S,white,white,,wei�,,,,sporty,women,s15,TRUE,,,
,23,M0E20000000DJRC,EUR 21250;EUR 13934 b2b;US-USD 21250;USD 13934 b2b;DE-EUR 17000;IT-EUR 17000;GB-EUR 17000;DE-EUR 16490#sunrise-store-berlin;EUR 21675#sunrise-store-vienna;DE-EUR 17000#sunrise-store-munich;DE-EUR 17850#sunrise-store-cologne;DE-EUR 15640#sunrise-store-hamburg;US-USD 16490#sunrise-store-boston-2;USD 21675#sunrise-store-chicago;US-USD 17000#sunrise-store-boston-1;US-USD 17850#sunrise-store-sanfrancisco;US-USD 15640#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/frakta-storage-bag-for-cart-blue__0711261_pe728099_s5.jpg?f=xxs,FRAKTA,"After 30 years in our range, it�s one of the most hardworking bags in the world. It�s big and strong and carries most things. Be it shopping, doing laundry or going to the beach, it goes wherever you go.",,,,,FRAKTA,"After 30 years in our range, it�s one of the most hardworking bags in the world. It�s big and strong and carries most things. Be it shopping, doing laundry or going to the beach, it goes wherever you go.",,,,,FRAKTA,"After 30 years in our range, it�s one of the most hardworking bags in the world. It�s big and strong and carries most things. Be it shopping, doing laundry or going to the beach, it goes wherever you go.",,,,,,1G10XX Y19K Z04,72601,M0E20000000DJRC,72601,pinko,no,,m,M,white,white,,wei�,,,,sporty,women,s15,,,,
,24,M0E20000000DJRD,EUR 21250;EUR 13934 b2b;US-USD 21250;USD 13934 b2b;DE-EUR 17000;IT-EUR 17000;GB-EUR 17000;DE-EUR 16660#sunrise-store-berlin;EUR 22950#sunrise-store-vienna;DE-EUR 15470#sunrise-store-munich;DE-EUR 15470#sunrise-store-cologne;DE-EUR 17680#sunrise-store-hamburg;US-USD 16660#sunrise-store-boston-2;USD 22950#sunrise-store-chicago;US-USD 15470#sunrise-store-boston-1;US-USD 15470#sunrise-store-sanfrancisco;US-USD 17680#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/burhult-shelf-white__0670004_pe715282_s5.jpg?f=xxs,BURHULT,With BURHULT you can easily create a wall shelf that suits your needs. Free up space on the floor for things you need close at hand or use it to display your favorite things.,,,,,BURHULT,With BURHULT you can easily create a wall shelf that suits your needs. Free up space on the floor for things you need close at hand or use it to display your favorite things.,,,,,BURHULT,With BURHULT you can easily create a wall shelf that suits your needs. Free up space on the floor for things you need close at hand or use it to display your favorite things.,,,,,,1G10XX Y19K Z04,72601,M0E20000000DJRD,72601,pinko,no,,l,L,white,white,,wei�,,,,sporty,women,s15,,,,
,25,M0E20000000DJRE,EUR 21250;EUR 13934 b2b;US-USD 21250;USD 13934 b2b;DE-EUR 17000;IT-EUR 17000;GB-EUR 17000;DE-EUR 17850#sunrise-store-berlin;EUR 21038#sunrise-store-vienna;DE-EUR 16490#sunrise-store-munich;DE-EUR 17510#sunrise-store-cologne;DE-EUR 15300#sunrise-store-hamburg;US-USD 17850#sunrise-store-boston-2;USD 21038#sunrise-store-chicago;US-USD 16490#sunrise-store-boston-1;US-USD 17510#sunrise-store-sanfrancisco;US-USD 15300#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/knoxhult-base-cabinet-with-doors-and-drawer-white__0630750_pe694878_s5.jpg?f=xxs,KNOXHULT,"KNOXHULT modular kitchen makes it easier to plan, design and survive the kitchen jungle. Combine the modules, add knobs or handles, and finish with functions like organizers, waste management and lighting.",,,,,KNOXHULT,"KNOXHULT modular kitchen makes it easier to plan, design and survive the kitchen jungle. Combine the modules, add knobs or handles, and finish with functions like organizers, waste management and lighting.",,,,,KNOXHULT,"KNOXHULT modular kitchen makes it easier to plan, design and survive the kitchen jungle. Combine the modules, add knobs or handles, and finish with functions like organizers, waste management and lighting.",,,,,,1G10XX Y19K Z04,72601,M0E20000000DJRE,72601,pinko,no,,xl,XL,white,white,,wei�,,,,sporty,women,s15,,,,
,1,M0E20000000DJRF,EUR 21250;EUR 13934 b2b;US-USD 21250;USD 13934 b2b;DE-EUR 17000;IT-EUR 17000;GB-EUR 17000;DE-EUR 16150#sunrise-store-berlin;EUR 22525#sunrise-store-vienna;DE-EUR 16830#sunrise-store-munich;DE-EUR 18530#sunrise-store-cologne;DE-EUR 15470#sunrise-store-hamburg;US-USD 16150#sunrise-store-boston-2;USD 22525#sunrise-store-chicago;US-USD 16830#sunrise-store-boston-1;US-USD 18530#sunrise-store-sanfrancisco;US-USD 15470#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/lysekil-wall-panel-double-sided-brass-color-stainless-steel-color__0817928_pe774177_s5.jpg?f=xxs,LYSEKIL,LYSEKIL wall panels protect your walls from stains and grease. Choose your favorite colour or pattern and change when you�re ready for a fresh look in your kitchen. Available to take home today.,,,,,LYSEKIL,LYSEKIL wall panels protect your walls from stains and grease. Choose your favorite colour or pattern and change when you�re ready for a fresh look in your kitchen. Available to take home today.,,,,,LYSEKIL,LYSEKIL wall panels protect your walls from stains and grease. Choose your favorite colour or pattern and change when you�re ready for a fresh look in your kitchen. Available to take home today.,,,,,,1G10XX Y19K Z04,72601,M0E20000000DJRF,72601,pinko,no,,xxl,XXL,white,white,,wei�,,,,sporty,women,s15,,,,
,2,M0E20000000DJRG,EUR 21250;EUR 13934 b2b;US-USD 21250;USD 13934 b2b;DE-EUR 17000;IT-EUR 17000;GB-EUR 17000;DE-EUR 17340#sunrise-store-berlin;EUR 22738#sunrise-store-vienna;DE-EUR 17850#sunrise-store-munich;DE-EUR 18700#sunrise-store-cologne;DE-EUR 16660#sunrise-store-hamburg;US-USD 17340#sunrise-store-boston-2;USD 22738#sunrise-store-chicago;US-USD 17850#sunrise-store-boston-1;US-USD 18700#sunrise-store-sanfrancisco;US-USD 16660#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/variera-flatware-tray-bamboo__0260476_pe404457_s5.jpg?f=xxs,VARIERA,"Do you also have to look around for the necessary cutlery and utensils to make the evening�s dinner a reality? With this box you stay organized, while the bamboo adds a warm, natural feel to the kitchen.",,,,,VARIERA,"Do you also have to look around for the necessary cutlery and utensils to make the evening�s dinner a reality? With this box you stay organized, while the bamboo adds a warm, natural feel to the kitchen.",,,,,VARIERA,"Do you also have to look around for the necessary cutlery and utensils to make the evening�s dinner a reality? With this box you stay organized, while the bamboo adds a warm, natural feel to the kitchen.",,,,,,1G10XX Y19K Z04,72601,M0E20000000DJRG,72601,pinko,no,,xxxl,XXXL,white,white,,wei�,,,,sporty,women,s15,,,,
,3,A0E200000001YTT,EUR 4000;EUR 2623 b2b;US-USD 4000;USD 2623 b2b;DE-EUR 3200;IT-EUR 3200;GB-EUR 3200;DE-EUR 3264#sunrise-store-berlin;EUR 4360#sunrise-store-vienna;DE-EUR 3488#sunrise-store-munich;DE-EUR 3392#sunrise-store-cologne;DE-EUR 3392#sunrise-store-hamburg;US-USD 3264#sunrise-store-boston-2;USD 4360#sunrise-store-chicago;US-USD 3488#sunrise-store-boston-1;US-USD 3392#sunrise-store-sanfrancisco;US-USD 3392#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/vimmern-kitchen-faucet-with-handspray-stainless-steel-color__0804885_pe769404_s5.jpg?f=xxs,VIMMERN,This faucet helps lower water and energy use so you can lower your bills too. The handspray is practical for cleaning veggies and the quality is built to last through many years of washing and rinsing.,,,,,VIMMERN,This faucet helps lower water and energy use so you can lower your bills too. The handspray is practical for cleaning veggies and the quality is built to last through many years of washing and rinsing.,,,,,VIMMERN,This faucet helps lower water and energy use so you can lower your bills too. The handspray is practical for cleaning veggies and the quality is built to last through many years of washing and rinsing.,,,,,,SWSG14 78560 BLA,73152,A0E200000001YTT,73152,guess,no,,oneSize,one size,black,black,,schwarz,,,,sporty,women,s15,,,,
,4,M0E20000000DVZF,EUR 37250;EUR 24426 b2b;US-USD 37250;USD 24426 b2b;DE-EUR 29800;IT-EUR 29800;GB-EUR 29800;DE-EUR 30694#sunrise-store-berlin;EUR 40230#sunrise-store-vienna;DE-EUR 30098#sunrise-store-munich;DE-EUR 26820#sunrise-store-cologne;DE-EUR 27714#sunrise-store-hamburg;US-USD 30694#sunrise-store-boston-2;USD 40230#sunrise-store-chicago;US-USD 30098#sunrise-store-boston-1;US-USD 26820#sunrise-store-sanfrancisco;US-USD 27714#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/stjaernstatus-french-door-refrigerator-stainless-steel__0841088_pe778780_s5.jpg?f=xxs,STJARNSTATUS,"A sleek look and a smart design that saves floor space. This fridge/freezer offers plenty of options to tailor the space inside for easy access and a good overview, putting an end to food waste at home.",,,,,STJARNSTATUS,"A sleek look and a smart design that saves floor space. This fridge/freezer offers plenty of options to tailor the space inside for easy access and a good overview, putting an end to food waste at home.",,,,,STJARNSTATUS,"A sleek look and a smart design that saves floor space. This fridge/freezer offers plenty of options to tailor the space inside for easy access and a good overview, putting an end to food waste at home.",,,,,,HXW2220N6238714173,79039,M0E20000000DVZF,79039,hogan,yes,,34,34,blue,light blue,,hellblau,,,,business,women,s15,,,,
,5,M0E20000000DVZG,EUR 37250;EUR 24426 b2b;US-USD 37250;USD 24426 b2b;DE-EUR 29800;IT-EUR 29800;GB-EUR 29800;DE-EUR 32780#sunrise-store-berlin;EUR 40975#sunrise-store-vienna;DE-EUR 31886#sunrise-store-munich;DE-EUR 27416#sunrise-store-cologne;DE-EUR 29800#sunrise-store-hamburg;US-USD 32780#sunrise-store-boston-2;USD 40975#sunrise-store-chicago;US-USD 31886#sunrise-store-boston-1;US-USD 27416#sunrise-store-sanfrancisco;US-USD 29800#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/vrena-countertop-oak-veneer__1012022_pe828714_s5.jpg?f=xxs,VRENA,"This wood countertop combines the best of solid wood and veneer. With efficient use of natural resources, it offers a unique pattern and a durable surface that can be sanded. Available to take home today.",,,,,VRENA,"This wood countertop combines the best of solid wood and veneer. With efficient use of natural resources, it offers a unique pattern and a durable surface that can be sanded. Available to take home today.",,,,,VRENA,"This wood countertop combines the best of solid wood and veneer. With efficient use of natural resources, it offers a unique pattern and a durable surface that can be sanded. Available to take home today.",,,,,,HXW2220N6238714173,79039,M0E20000000DVZG,79039,hogan,yes,,34.5,34.5,blue,light blue,,hellblau,,,,business,women,s15,,,,
,6,M0E20000000DVZH,EUR 37250;EUR 24426 b2b;US-USD 37250;USD 24426 b2b;DE-EUR 29800;IT-EUR 29800;GB-EUR 29800;DE-EUR 26820#sunrise-store-berlin;EUR 35388#sunrise-store-vienna;DE-EUR 29204#sunrise-store-munich;DE-EUR 29204#sunrise-store-cologne;DE-EUR 26820#sunrise-store-hamburg;US-USD 26820#sunrise-store-boston-2;USD 35388#sunrise-store-chicago;US-USD 29204#sunrise-store-boston-1;US-USD 29204#sunrise-store-sanfrancisco;US-USD 26820#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/mittled-led-kitchen-cntrtp-lighting-strip-dimmable-white__0869936_pe781531_s5.jpg?f=xxs,MITTLED,The lighting enhances both function and atmosphere in your kitchen and makes working in the kitchen less of a chore. Easy to install � no electrician needed.,,,,,MITTLED,The lighting enhances both function and atmosphere in your kitchen and makes working in the kitchen less of a chore. Easy to install � no electrician needed.,,,,,MITTLED,The lighting enhances both function and atmosphere in your kitchen and makes working in the kitchen less of a chore. Easy to install � no electrician needed.,,,,,,HXW2220N6238714173,79039,M0E20000000DVZH,79039,hogan,yes,,35,35,blue,light blue,,hellblau,,,,business,women,s15,,,,
,7,M0E20000000DVZI,EUR 37250;EUR 24426 b2b;US-USD 37250;USD 24426 b2b;DE-EUR 29800;IT-EUR 29800;GB-EUR 29800;DE-EUR 28906#sunrise-store-berlin;EUR 39858#sunrise-store-vienna;DE-EUR 31290#sunrise-store-munich;DE-EUR 32780#sunrise-store-cologne;DE-EUR 28906#sunrise-store-hamburg;US-USD 28906#sunrise-store-boston-2;USD 39858#sunrise-store-chicago;US-USD 31290#sunrise-store-boston-1;US-USD 32780#sunrise-store-sanfrancisco;US-USD 28906#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/tornviken-kitchen-island-off-white-oak__0736817_pe740760_s5.jpg?f=xxs,TORNVIKEN,"The TORNVIKEN series is ideal when you need more workspace, more storage - more kitchen. Combine a kitchen island with shelves to create a rustic kitchen where you can cook together. Everyone can fit!",,,,,TORNVIKEN,"The TORNVIKEN series is ideal when you need more workspace, more storage - more kitchen. Combine a kitchen island with shelves to create a rustic kitchen where you can cook together. Everyone can fit!",,,,,TORNVIKEN,"The TORNVIKEN series is ideal when you need more workspace, more storage - more kitchen. Combine a kitchen island with shelves to create a rustic kitchen where you can cook together. Everyone can fit!",,,,,,HXW2220N6238714173,79039,M0E20000000DVZI,79039,hogan,yes,,35.5,35.5,blue,light blue,,hellblau,,,,business,women,s15,,,,
,8,M0E20000000DVZJ,EUR 37250;EUR 24426 b2b;US-USD 37250;USD 24426 b2b;DE-EUR 29800;IT-EUR 29800;GB-EUR 29800;DE-EUR 32482#sunrise-store-berlin;EUR 34642#sunrise-store-vienna;DE-EUR 31588#sunrise-store-munich;DE-EUR 28608#sunrise-store-cologne;DE-EUR 29204#sunrise-store-hamburg;US-USD 32482#sunrise-store-boston-2;USD 34642#sunrise-store-chicago;US-USD 31588#sunrise-store-boston-1;US-USD 28608#sunrise-store-sanfrancisco;US-USD 29204#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/nereby-hanging-organizer-for-accessories-natural__0943128_pe796761_s5.jpg?f=xxs,NEREBY,The NEREBY series frees up countertop space and puts things close at hand. The durable blend of undyed/unbleached hemp and cotton creates a tactile texture and keeps its rustic beauty over time.,,,,,NEREBY,The NEREBY series frees up countertop space and puts things close at hand. The durable blend of undyed/unbleached hemp and cotton creates a tactile texture and keeps its rustic beauty over time.,,,,,NEREBY,The NEREBY series frees up countertop space and puts things close at hand. The durable blend of undyed/unbleached hemp and cotton creates a tactile texture and keeps its rustic beauty over time.,,,,,,HXW2220N6238714173,79039,M0E20000000DVZJ,79039,hogan,yes,,36,36,blue,light blue,,hellblau,,,,business,women,s15,TRUE,,,
,9,M0E20000000DVZK,EUR 37250;EUR 24426 b2b;US-USD 37250;USD 24426 b2b;DE-EUR 29800;IT-EUR 29800;GB-EUR 29800;DE-EUR 28012#sunrise-store-berlin;EUR 35015#sunrise-store-vienna;DE-EUR 27416#sunrise-store-munich;DE-EUR 28906#sunrise-store-cologne;DE-EUR 31290#sunrise-store-hamburg;US-USD 28012#sunrise-store-boston-2;USD 35015#sunrise-store-chicago;US-USD 27416#sunrise-store-boston-1;US-USD 28906#sunrise-store-sanfrancisco;US-USD 31290#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/gribbol-handle-brass-color__0945521_pe797714_s5.jpg?f=xxs,GRIBBOL,Feel like renewing the look of your doors and drawers? This brass-colored handle with a grip-friendly shape also comes in silver or black colors � choose the color that best matches your style and decor.,,,,,GRIBBOL,Feel like renewing the look of your doors and drawers? This brass-colored handle with a grip-friendly shape also comes in silver or black colors � choose the color that best matches your style and decor.,,,,,GRIBBOL,Feel like renewing the look of your doors and drawers? This brass-colored handle with a grip-friendly shape also comes in silver or black colors � choose the color that best matches your style and decor.,,,,,,HXW2220N6238714173,79039,M0E20000000DVZK,79039,hogan,yes,,36.5,36.5,blue,light blue,,hellblau,,,,business,women,s15,TRUE,,,
,10,M0E20000000DVZL,EUR 37250;EUR 24426 b2b;US-USD 37250;USD 24426 b2b;DE-EUR 29800;IT-EUR 29800;GB-EUR 29800;DE-EUR 28310#sunrise-store-berlin;EUR 37622#sunrise-store-vienna;DE-EUR 30992#sunrise-store-munich;DE-EUR 30694#sunrise-store-cologne;DE-EUR 28608#sunrise-store-hamburg;US-USD 28310#sunrise-store-boston-2;USD 37622#sunrise-store-chicago;US-USD 30992#sunrise-store-boston-1;US-USD 30694#sunrise-store-sanfrancisco;US-USD 28608#sunrise-store-newyork,,,https://www.ikea.com/us/en/images/products/sunnersta-mini-kitchen__0985188_pe816540_s5.jpg?f=xxs,SUNNERSTA,"A functional mini-kitchen series for the chef with limited space and budget � at home, at the office, or in the guest house. Easy to assemble, or disassemble and bring with you if you move.",,,,,SUNNERSTA,"A functional mini-kitchen series for the chef with limited space and budget � at home, at the office, or in the guest house. Easy to assemble, or disassemble and bring with you if you move.",,,,,SUNNERSTA,"A functional mini-kitchen series for the chef with limited space and budget � at home, at the office, or in the guest house. Easy to assemble, or disassemble and bring with you if you move.",,,,,,HXW2220N6238714173,79039,M0E20000000DVZL,79039,hogan,yes,,37,37,blue,light blue,,hellblau,,,,business,women,s15,TRUE,,,
